"date","LineDescription","rate"
"7330",2015-12-06,"Gross domestic product (GDP)",2.6
"7331",2015-12-07,"Unemployment rate",5.1
"7332",2015-12-07,"Federal funds rate",0.12
"7333",2015-12-07,"Personal consumption expenditures (PCE)",0.26
"7334",2015-12-07,"PCE excluding food and energy",1.19
"7335",2015-12-07,"Gross domestic product (GDP)",2.6
"7336",2015-12-08,"Unemployment rate",5.1
"7337",2015-12-08,"Federal funds rate",0.12
"7338",2015-12-08,"Personal consumption expenditures (PCE)",0.26
"7339",2015-12-08,"PCE excluding food and energy",1.19
"7340",2015-12-08,"Gross domestic product (GDP)",2.6
"7341",2015-12-09,"Unemployment rate",5.1
"7342",2015-12-09,"Federal funds rate",0.12
"7343",2015-12-09,"Personal consumption expenditures (PCE)",0.26
"7344",2015-12-09,"PCE excluding food and energy",1.19
"7345",2015-12-09,"Gross domestic product (GDP)",2.6
"7346",2015-12-10,"Unemployment rate",5.1
"7347",2015-12-10,"Federal funds rate",0.12
"7348",2015-12-10,"Personal consumption expenditures (PCE)",0.26
"7349",2015-12-10,"PCE excluding food and energy",1.19
"7350",2015-12-10,"Gross domestic product (GDP)",2.6
"7351",2015-12-11,"Unemployment rate",5.1
"7352",2015-12-11,"Federal funds rate",0.12
"7353",2015-12-11,"Personal consumption expenditures (PCE)",0.26
"7354",2015-12-11,"PCE excluding food and energy",1.19
"7355",2015-12-11,"Gross domestic product (GDP)",2.6
"7356",2015-12-12,"Unemployment rate",5.1
"7357",2015-12-12,"Federal funds rate",0.12
"7358",2015-12-12,"Personal consumption expenditures (PCE)",0.26
"7359",2015-12-12,"PCE excluding food and energy",1.19
"7360",2015-12-12,"Gross domestic product (GDP)",2.6
"7361",2015-12-13,"Unemployment rate",5.1
"7362",2015-12-13,"Federal funds rate",0.12
"7363",2015-12-13,"Personal consumption expenditures (PCE)",0.26
"7364",2015-12-13,"PCE excluding food and energy",1.19
"7365",2015-12-13,"Gross domestic product (GDP)",2.6
"7366",2015-12-14,"Unemployment rate",5.1
"7367",2015-12-14,"Federal funds rate",0.12
"7368",2015-12-14,"Personal consumption expenditures (PCE)",0.26
"7369",2015-12-14,"PCE excluding food and energy",1.19
"7370",2015-12-14,"Gross domestic product (GDP)",2.6
"7371",2015-12-15,"Unemployment rate",5.1
"7372",2015-12-15,"Federal funds rate",0.12
"7373",2015-12-15,"Personal consumption expenditures (PCE)",0.26
"7374",2015-12-15,"PCE excluding food and energy",1.19
"7375",2015-12-15,"Gross domestic product (GDP)",2.6
"7376",2015-12-16,"Unemployment rate",5.1
"7377",2015-12-16,"Federal funds rate",0.38
"7378",2015-12-16,"Personal consumption expenditures (PCE)",0.26
"7379",2015-12-16,"PCE excluding food and energy",1.19
"7380",2015-12-16,"Gross domestic product (GDP)",2.6
"7381",2015-12-17,"Unemployment rate",5.1
"7382",2015-12-17,"Federal funds rate",0.38
"7383",2015-12-17,"Personal consumption expenditures (PCE)",0.26
"7384",2015-12-17,"PCE excluding food and energy",1.19
"7385",2015-12-17,"Gross domestic product (GDP)",2.6
"7386",2015-12-18,"Unemployment rate",5.1
"7387",2015-12-18,"Federal funds rate",0.38
"7388",2015-12-18,"Personal consumption expenditures (PCE)",0.26
"7389",2015-12-18,"PCE excluding food and energy",1.19
"7390",2015-12-18,"Gross domestic product (GDP)",2.6
"7391",2015-12-19,"Unemployment rate",5.1
"7392",2015-12-19,"Federal funds rate",0.38
"7393",2015-12-19,"Personal consumption expenditures (PCE)",0.26
"7394",2015-12-19,"PCE excluding food and energy",1.19
"7395",2015-12-19,"Gross domestic product (GDP)",2.6
"7396",2015-12-20,"Unemployment rate",5.1
"7397",2015-12-20,"Federal funds rate",0.38
"7398",2015-12-20,"Personal consumption expenditures (PCE)",0.26
"7399",2015-12-20,"PCE excluding food and energy",1.19
"7400",2015-12-20,"Gross domestic product (GDP)",2.6
"7401",2015-12-21,"Unemployment rate",5.1
"7402",2015-12-21,"Federal funds rate",0.38
"7403",2015-12-21,"Personal consumption expenditures (PCE)",0.26
"7404",2015-12-21,"PCE excluding food and energy",1.19
"7405",2015-12-21,"Gross domestic product (GDP)",2.6
"7406",2015-12-22,"Unemployment rate",5.1
"7407",2015-12-22,"Federal funds rate",0.38
"7408",2015-12-22,"Personal consumption expenditures (PCE)",0.26
"7409",2015-12-22,"PCE excluding food and energy",1.19
"7410",2015-12-22,"Gross domestic product (GDP)",2.6
"7411",2015-12-23,"Unemployment rate",5.1
"7412",2015-12-23,"Federal funds rate",0.38
"7413",2015-12-23,"Personal consumption expenditures (PCE)",0.26
"7414",2015-12-23,"PCE excluding food and energy",1.19
"7415",2015-12-23,"Gross domestic product (GDP)",2.6
"7416",2015-12-24,"Unemployment rate",5.1
"7417",2015-12-24,"Federal funds rate",0.38
"7418",2015-12-24,"Personal consumption expenditures (PCE)",0.26
"7419",2015-12-24,"PCE excluding food and energy",1.19
"7420",2015-12-24,"Gross domestic product (GDP)",2.6
"7421",2015-12-25,"Unemployment rate",5.1
"7422",2015-12-25,"Federal funds rate",0.38
"7423",2015-12-25,"Personal consumption expenditures (PCE)",0.26
"7424",2015-12-25,"PCE excluding food and energy",1.19
"7425",2015-12-25,"Gross domestic product (GDP)",2.6
"7426",2015-12-26,"Unemployment rate",5.1
"7427",2015-12-26,"Federal funds rate",0.38
"7428",2015-12-26,"Personal consumption expenditures (PCE)",0.26
"7429",2015-12-26,"PCE excluding food and energy",1.19
"7430",2015-12-26,"Gross domestic product (GDP)",2.6
"7431",2015-12-27,"Unemployment rate",5.1
"7432",2015-12-27,"Federal funds rate",0.38
"7433",2015-12-27,"Personal consumption expenditures (PCE)",0.26
"7434",2015-12-27,"PCE excluding food and energy",1.19
"7435",2015-12-27,"Gross domestic product (GDP)",2.6
"7436",2015-12-28,"Unemployment rate",5.1
"7437",2015-12-28,"Federal funds rate",0.38
"7438",2015-12-28,"Personal consumption expenditures (PCE)",0.26
"7439",2015-12-28,"PCE excluding food and energy",1.19
"7440",2015-12-28,"Gross domestic product (GDP)",2.6
"7441",2015-12-29,"Unemployment rate",5.1
"7442",2015-12-29,"Federal funds rate",0.38
"7443",2015-12-29,"Personal consumption expenditures (PCE)",0.26
"7444",2015-12-29,"PCE excluding food and energy",1.19
"7445",2015-12-29,"Gross domestic product (GDP)",2.6
"7446",2015-12-30,"Unemployment rate",5.1
"7447",2015-12-30,"Federal funds rate",0.38
"7448",2015-12-30,"Personal consumption expenditures (PCE)",0.26
"7449",2015-12-30,"PCE excluding food and energy",1.19
"7450",2015-12-30,"Gross domestic product (GDP)",2.6
"7451",2015-12-31,"Unemployment rate",5
"7452",2015-12-31,"Federal funds rate",0.38
"7453",2015-12-31,"Personal consumption expenditures (PCE)",0.35
"7454",2015-12-31,"PCE excluding food and energy",1.18
"7455",2015-12-31,"Gross domestic product (GDP)",2.2
"7456",2016-01-01,"Unemployment rate",5
"7457",2016-01-01,"Federal funds rate",0.38
"7458",2016-01-01,"Personal consumption expenditures (PCE)",0.35
"7459",2016-01-01,"PCE excluding food and energy",1.18
"7460",2016-01-01,"Gross domestic product (GDP)",2.2
"7461",2016-01-02,"Unemployment rate",5
"7462",2016-01-02,"Federal funds rate",0.38
"7463",2016-01-02,"Personal consumption expenditures (PCE)",0.35
"7464",2016-01-02,"PCE excluding food and energy",1.18
"7465",2016-01-02,"Gross domestic product (GDP)",2.2
"7466",2016-01-03,"Unemployment rate",5
"7467",2016-01-03,"Federal funds rate",0.38
"7468",2016-01-03,"Personal consumption expenditures (PCE)",0.35
"7469",2016-01-03,"PCE excluding food and energy",1.18
"7470",2016-01-03,"Gross domestic product (GDP)",2.2
"7471",2016-01-04,"Unemployment rate",5
"7472",2016-01-04,"Federal funds rate",0.38
"7473",2016-01-04,"Personal consumption expenditures (PCE)",0.35
"7474",2016-01-04,"PCE excluding food and energy",1.18
"7475",2016-01-04,"Gross domestic product (GDP)",2.2
"7476",2016-01-05,"Unemployment rate",5
"7477",2016-01-05,"Federal funds rate",0.38
"7478",2016-01-05,"Personal consumption expenditures (PCE)",0.35
"7479",2016-01-05,"PCE excluding food and energy",1.18
"7480",2016-01-05,"Gross domestic product (GDP)",2.2
"7481",2016-01-06,"Unemployment rate",5
"7482",2016-01-06,"Federal funds rate",0.38
"7483",2016-01-06,"Personal consumption expenditures (PCE)",0.35
"7484",2016-01-06,"PCE excluding food and energy",1.18
"7485",2016-01-06,"Gross domestic product (GDP)",2.2
"7486",2016-01-07,"Unemployment rate",5
"7487",2016-01-07,"Federal funds rate",0.38
"7488",2016-01-07,"Personal consumption expenditures (PCE)",0.35
"7489",2016-01-07,"PCE excluding food and energy",1.18
"7490",2016-01-07,"Gross domestic product (GDP)",2.2
"7491",2016-01-08,"Unemployment rate",5
"7492",2016-01-08,"Federal funds rate",0.38
"7493",2016-01-08,"Personal consumption expenditures (PCE)",0.35
"7494",2016-01-08,"PCE excluding food and energy",1.18
"7495",2016-01-08,"Gross domestic product (GDP)",2.2
"7496",2016-01-09,"Unemployment rate",5
"7497",2016-01-09,"Federal funds rate",0.38
"7498",2016-01-09,"Personal consumption expenditures (PCE)",0.35
"7499",2016-01-09,"PCE excluding food and energy",1.18
"7500",2016-01-09,"Gross domestic product (GDP)",2.2
"7501",2016-01-10,"Unemployment rate",5
"7502",2016-01-10,"Federal funds rate",0.38
"7503",2016-01-10,"Personal consumption expenditures (PCE)",0.35
"7504",2016-01-10,"PCE excluding food and energy",1.18
"7505",2016-01-10,"Gross domestic product (GDP)",2.2
"7506",2016-01-11,"Unemployment rate",5
"7507",2016-01-11,"Federal funds rate",0.38
"7508",2016-01-11,"Personal consumption expenditures (PCE)",0.35
"7509",2016-01-11,"PCE excluding food and energy",1.18
"7510",2016-01-11,"Gross domestic product (GDP)",2.2
"7511",2016-01-12,"Unemployment rate",5
"7512",2016-01-12,"Federal funds rate",0.38
"7513",2016-01-12,"Personal consumption expenditures (PCE)",0.35
"7514",2016-01-12,"PCE excluding food and energy",1.18
"7515",2016-01-12,"Gross domestic product (GDP)",2.2
"7516",2016-01-13,"Unemployment rate",5
"7517",2016-01-13,"Federal funds rate",0.38
"7518",2016-01-13,"Personal consumption expenditures (PCE)",0.35
"7519",2016-01-13,"PCE excluding food and energy",1.18
"7520",2016-01-13,"Gross domestic product (GDP)",2.2
"7521",2016-01-14,"Unemployment rate",5
"7522",2016-01-14,"Federal funds rate",0.38
"7523",2016-01-14,"Personal consumption expenditures (PCE)",0.35
"7524",2016-01-14,"PCE excluding food and energy",1.18
"7525",2016-01-14,"Gross domestic product (GDP)",2.2
"7526",2016-01-15,"Unemployment rate",5
"7527",2016-01-15,"Federal funds rate",0.38
"7528",2016-01-15,"Personal consumption expenditures (PCE)",0.35
"7529",2016-01-15,"PCE excluding food and energy",1.18
"7530",2016-01-15,"Gross domestic product (GDP)",2.2
"7531",2016-01-16,"Unemployment rate",5
"7532",2016-01-16,"Federal funds rate",0.38
"7533",2016-01-16,"Personal consumption expenditures (PCE)",0.35
"7534",2016-01-16,"PCE excluding food and energy",1.18
"7535",2016-01-16,"Gross domestic product (GDP)",2.2
"7536",2016-01-17,"Unemployment rate",5
"7537",2016-01-17,"Federal funds rate",0.38
"7538",2016-01-17,"Personal consumption expenditures (PCE)",0.35
"7539",2016-01-17,"PCE excluding food and energy",1.18
"7540",2016-01-17,"Gross domestic product (GDP)",2.2
"7541",2016-01-18,"Unemployment rate",5
"7542",2016-01-18,"Federal funds rate",0.38
"7543",2016-01-18,"Personal consumption expenditures (PCE)",0.35
"7544",2016-01-18,"PCE excluding food and energy",1.18
"7545",2016-01-18,"Gross domestic product (GDP)",2.2
"7546",2016-01-19,"Unemployment rate",5
"7547",2016-01-19,"Federal funds rate",0.38
"7548",2016-01-19,"Personal consumption expenditures (PCE)",0.35
"7549",2016-01-19,"PCE excluding food and energy",1.18
"7550",2016-01-19,"Gross domestic product (GDP)",2.2
"7551",2016-01-20,"Unemployment rate",5
"7552",2016-01-20,"Federal funds rate",0.38
"7553",2016-01-20,"Personal consumption expenditures (PCE)",0.35
"7554",2016-01-20,"PCE excluding food and energy",1.18
"7555",2016-01-20,"Gross domestic product (GDP)",2.2
"7556",2016-01-21,"Unemployment rate",5
"7557",2016-01-21,"Federal funds rate",0.38
"7558",2016-01-21,"Personal consumption expenditures (PCE)",0.35
"7559",2016-01-21,"PCE excluding food and energy",1.18
"7560",2016-01-21,"Gross domestic product (GDP)",2.2
"7561",2016-01-22,"Unemployment rate",5
"7562",2016-01-22,"Federal funds rate",0.38
"7563",2016-01-22,"Personal consumption expenditures (PCE)",0.35
"7564",2016-01-22,"PCE excluding food and energy",1.18
"7565",2016-01-22,"Gross domestic product (GDP)",2.2
"7566",2016-01-23,"Unemployment rate",5
"7567",2016-01-23,"Federal funds rate",0.38
"7568",2016-01-23,"Personal consumption expenditures (PCE)",0.35
"7569",2016-01-23,"PCE excluding food and energy",1.18
"7570",2016-01-23,"Gross domestic product (GDP)",2.2
"7571",2016-01-24,"Unemployment rate",5
"7572",2016-01-24,"Federal funds rate",0.38
"7573",2016-01-24,"Personal consumption expenditures (PCE)",0.35
"7574",2016-01-24,"PCE excluding food and energy",1.18
"7575",2016-01-24,"Gross domestic product (GDP)",2.2
"7576",2016-01-25,"Unemployment rate",5
"7577",2016-01-25,"Federal funds rate",0.38
"7578",2016-01-25,"Personal consumption expenditures (PCE)",0.35
"7579",2016-01-25,"PCE excluding food and energy",1.18
"7580",2016-01-25,"Gross domestic product (GDP)",2.2
"7581",2016-01-26,"Unemployment rate",5
"7582",2016-01-26,"Federal funds rate",0.38
"7583",2016-01-26,"Personal consumption expenditures (PCE)",0.35
"7584",2016-01-26,"PCE excluding food and energy",1.18
"7585",2016-01-26,"Gross domestic product (GDP)",2.2
"7586",2016-01-27,"Unemployment rate",5
"7587",2016-01-27,"Federal funds rate",0.38
"7588",2016-01-27,"Personal consumption expenditures (PCE)",0.35
"7589",2016-01-27,"PCE excluding food and energy",1.18
"7590",2016-01-27,"Gross domestic product (GDP)",2.2
"7591",2016-01-28,"Unemployment rate",5
"7592",2016-01-28,"Federal funds rate",0.38
"7593",2016-01-28,"Personal consumption expenditures (PCE)",0.35
"7594",2016-01-28,"PCE excluding food and energy",1.18
"7595",2016-01-28,"Gross domestic product (GDP)",2.2
"7596",2016-01-29,"Unemployment rate",5
"7597",2016-01-29,"Federal funds rate",0.38
"7598",2016-01-29,"Personal consumption expenditures (PCE)",0.35
"7599",2016-01-29,"PCE excluding food and energy",1.18
"7600",2016-01-29,"Gross domestic product (GDP)",2.2
"7601",2016-01-30,"Unemployment rate",5
"7602",2016-01-30,"Federal funds rate",0.38
"7603",2016-01-30,"Personal consumption expenditures (PCE)",0.35
"7604",2016-01-30,"PCE excluding food and energy",1.18
"7605",2016-01-30,"Gross domestic product (GDP)",2.2
"7606",2016-01-31,"Unemployment rate",4.8
"7607",2016-01-31,"Federal funds rate",0.38
"7608",2016-01-31,"Personal consumption expenditures (PCE)",0.92
"7609",2016-01-31,"PCE excluding food and energy",1.42
"7610",2016-01-31,"Gross domestic product (GDP)",2.2
"7611",2016-02-01,"Unemployment rate",4.8
"7612",2016-02-01,"Federal funds rate",0.38
"7613",2016-02-01,"Personal consumption expenditures (PCE)",0.92
"7614",2016-02-01,"PCE excluding food and energy",1.42
"7615",2016-02-01,"Gross domestic product (GDP)",2.2
"7616",2016-02-02,"Unemployment rate",4.8
"7617",2016-02-02,"Federal funds rate",0.38
"7618",2016-02-02,"Personal consumption expenditures (PCE)",0.92
"7619",2016-02-02,"PCE excluding food and energy",1.42
"7620",2016-02-02,"Gross domestic product (GDP)",2.2
"7621",2016-02-03,"Unemployment rate",4.8
"7622",2016-02-03,"Federal funds rate",0.38
"7623",2016-02-03,"Personal consumption expenditures (PCE)",0.92
"7624",2016-02-03,"PCE excluding food and energy",1.42
"7625",2016-02-03,"Gross domestic product (GDP)",2.2
"7626",2016-02-04,"Unemployment rate",4.8
"7627",2016-02-04,"Federal funds rate",0.38
"7628",2016-02-04,"Personal consumption expenditures (PCE)",0.92
"7629",2016-02-04,"PCE excluding food and energy",1.42
"7630",2016-02-04,"Gross domestic product (GDP)",2.2
"7631",2016-02-05,"Unemployment rate",4.8
"7632",2016-02-05,"Federal funds rate",0.38
"7633",2016-02-05,"Personal consumption expenditures (PCE)",0.92
"7634",2016-02-05,"PCE excluding food and energy",1.42
"7635",2016-02-05,"Gross domestic product (GDP)",2.2
"7636",2016-02-06,"Unemployment rate",4.8
"7637",2016-02-06,"Federal funds rate",0.38
"7638",2016-02-06,"Personal consumption expenditures (PCE)",0.92
"7639",2016-02-06,"PCE excluding food and energy",1.42
"7640",2016-02-06,"Gross domestic product (GDP)",2.2
"7641",2016-02-07,"Unemployment rate",4.8
"7642",2016-02-07,"Federal funds rate",0.38
"7643",2016-02-07,"Personal consumption expenditures (PCE)",0.92
"7644",2016-02-07,"PCE excluding food and energy",1.42
"7645",2016-02-07,"Gross domestic product (GDP)",2.2
"7646",2016-02-08,"Unemployment rate",4.8
"7647",2016-02-08,"Federal funds rate",0.38
"7648",2016-02-08,"Personal consumption expenditures (PCE)",0.92
"7649",2016-02-08,"PCE excluding food and energy",1.42
"7650",2016-02-08,"Gross domestic product (GDP)",2.2
"7651",2016-02-09,"Unemployment rate",4.8
"7652",2016-02-09,"Federal funds rate",0.38
"7653",2016-02-09,"Personal consumption expenditures (PCE)",0.92
"7654",2016-02-09,"PCE excluding food and energy",1.42
"7655",2016-02-09,"Gross domestic product (GDP)",2.2
"7656",2016-02-10,"Unemployment rate",4.8
"7657",2016-02-10,"Federal funds rate",0.38
"7658",2016-02-10,"Personal consumption expenditures (PCE)",0.92
"7659",2016-02-10,"PCE excluding food and energy",1.42
"7660",2016-02-10,"Gross domestic product (GDP)",2.2
"7661",2016-02-11,"Unemployment rate",4.8
"7662",2016-02-11,"Federal funds rate",0.38
"7663",2016-02-11,"Personal consumption expenditures (PCE)",0.92
"7664",2016-02-11,"PCE excluding food and energy",1.42
"7665",2016-02-11,"Gross domestic product (GDP)",2.2
"7666",2016-02-12,"Unemployment rate",4.8
"7667",2016-02-12,"Federal funds rate",0.38
"7668",2016-02-12,"Personal consumption expenditures (PCE)",0.92
"7669",2016-02-12,"PCE excluding food and energy",1.42
"7670",2016-02-12,"Gross domestic product (GDP)",2.2
"7671",2016-02-13,"Unemployment rate",4.8
"7672",2016-02-13,"Federal funds rate",0.38
"7673",2016-02-13,"Personal consumption expenditures (PCE)",0.92
"7674",2016-02-13,"PCE excluding food and energy",1.42
"7675",2016-02-13,"Gross domestic product (GDP)",2.2
"7676",2016-02-14,"Unemployment rate",4.8
"7677",2016-02-14,"Federal funds rate",0.38
"7678",2016-02-14,"Personal consumption expenditures (PCE)",0.92
"7679",2016-02-14,"PCE excluding food and energy",1.42
"7680",2016-02-14,"Gross domestic product (GDP)",2.2
"7681",2016-02-15,"Unemployment rate",4.8
"7682",2016-02-15,"Federal funds rate",0.38
"7683",2016-02-15,"Personal consumption expenditures (PCE)",0.92
"7684",2016-02-15,"PCE excluding food and energy",1.42
"7685",2016-02-15,"Gross domestic product (GDP)",2.2
"7686",2016-02-16,"Unemployment rate",4.8
"7687",2016-02-16,"Federal funds rate",0.38
"7688",2016-02-16,"Personal consumption expenditures (PCE)",0.92
"7689",2016-02-16,"PCE excluding food and energy",1.42
"7690",2016-02-16,"Gross domestic product (GDP)",2.2
"7691",2016-02-17,"Unemployment rate",4.8
"7692",2016-02-17,"Federal funds rate",0.38
"7693",2016-02-17,"Personal consumption expenditures (PCE)",0.92
"7694",2016-02-17,"PCE excluding food and energy",1.42
"7695",2016-02-17,"Gross domestic product (GDP)",2.2
"7696",2016-02-18,"Unemployment rate",4.8
"7697",2016-02-18,"Federal funds rate",0.38
"7698",2016-02-18,"Personal consumption expenditures (PCE)",0.92
"7699",2016-02-18,"PCE excluding food and energy",1.42
"7700",2016-02-18,"Gross domestic product (GDP)",2.2
"7701",2016-02-19,"Unemployment rate",4.8
"7702",2016-02-19,"Federal funds rate",0.38
"7703",2016-02-19,"Personal consumption expenditures (PCE)",0.92
"7704",2016-02-19,"PCE excluding food and energy",1.42
"7705",2016-02-19,"Gross domestic product (GDP)",2.2
"7706",2016-02-20,"Unemployment rate",4.8
"7707",2016-02-20,"Federal funds rate",0.38
"7708",2016-02-20,"Personal consumption expenditures (PCE)",0.92
"7709",2016-02-20,"PCE excluding food and energy",1.42
"7710",2016-02-20,"Gross domestic product (GDP)",2.2
"7711",2016-02-21,"Unemployment rate",4.8
"7712",2016-02-21,"Federal funds rate",0.38
"7713",2016-02-21,"Personal consumption expenditures (PCE)",0.92
"7714",2016-02-21,"PCE excluding food and energy",1.42
"7715",2016-02-21,"Gross domestic product (GDP)",2.2
"7716",2016-02-22,"Unemployment rate",4.8
"7717",2016-02-22,"Federal funds rate",0.38
"7718",2016-02-22,"Personal consumption expenditures (PCE)",0.92
"7719",2016-02-22,"PCE excluding food and energy",1.42
"7720",2016-02-22,"Gross domestic product (GDP)",2.2
"7721",2016-02-23,"Unemployment rate",4.8
"7722",2016-02-23,"Federal funds rate",0.38
"7723",2016-02-23,"Personal consumption expenditures (PCE)",0.92
"7724",2016-02-23,"PCE excluding food and energy",1.42
"7725",2016-02-23,"Gross domestic product (GDP)",2.2
"7726",2016-02-24,"Unemployment rate",4.8
"7727",2016-02-24,"Federal funds rate",0.38
"7728",2016-02-24,"Personal consumption expenditures (PCE)",0.92
"7729",2016-02-24,"PCE excluding food and energy",1.42
"7730",2016-02-24,"Gross domestic product (GDP)",2.2
"7731",2016-02-25,"Unemployment rate",4.8
"7732",2016-02-25,"Federal funds rate",0.38
"7733",2016-02-25,"Personal consumption expenditures (PCE)",0.92
"7734",2016-02-25,"PCE excluding food and energy",1.42
"7735",2016-02-25,"Gross domestic product (GDP)",2.2
"7736",2016-02-26,"Unemployment rate",4.8
"7737",2016-02-26,"Federal funds rate",0.38
"7738",2016-02-26,"Personal consumption expenditures (PCE)",0.92
"7739",2016-02-26,"PCE excluding food and energy",1.42
"7740",2016-02-26,"Gross domestic product (GDP)",2.2
"7741",2016-02-27,"Unemployment rate",4.8
"7742",2016-02-27,"Federal funds rate",0.38
"7743",2016-02-27,"Personal consumption expenditures (PCE)",0.92
"7744",2016-02-27,"PCE excluding food and energy",1.42
"7745",2016-02-27,"Gross domestic product (GDP)",2.2
"7746",2016-02-28,"Unemployment rate",4.8
"7747",2016-02-28,"Federal funds rate",0.38
"7748",2016-02-28,"Personal consumption expenditures (PCE)",0.92
"7749",2016-02-28,"PCE excluding food and energy",1.42
"7750",2016-02-28,"Gross domestic product (GDP)",2.2
"7751",2016-02-29,"Unemployment rate",4.9
"7752",2016-02-29,"Federal funds rate",0.38
"7753",2016-02-29,"Personal consumption expenditures (PCE)",0.69
"7754",2016-02-29,"PCE excluding food and energy",1.48
"7755",2016-02-29,"Gross domestic product (GDP)",2.2
"7756",2016-03-01,"Unemployment rate",4.9
"7757",2016-03-01,"Federal funds rate",0.38
"7758",2016-03-01,"Personal consumption expenditures (PCE)",0.69
"7759",2016-03-01,"PCE excluding food and energy",1.48
"7760",2016-03-01,"Gross domestic product (GDP)",2.2
"7761",2016-03-02,"Unemployment rate",4.9
"7762",2016-03-02,"Federal funds rate",0.38
"7763",2016-03-02,"Personal consumption expenditures (PCE)",0.69
"7764",2016-03-02,"PCE excluding food and energy",1.48
"7765",2016-03-02,"Gross domestic product (GDP)",2.2
"7766",2016-03-03,"Unemployment rate",4.9
"7767",2016-03-03,"Federal funds rate",0.38
"7768",2016-03-03,"Personal consumption expenditures (PCE)",0.69
"7769",2016-03-03,"PCE excluding food and energy",1.48
"7770",2016-03-03,"Gross domestic product (GDP)",2.2
"7771",2016-03-04,"Unemployment rate",4.9
"7772",2016-03-04,"Federal funds rate",0.38
"7773",2016-03-04,"Personal consumption expenditures (PCE)",0.69
"7774",2016-03-04,"PCE excluding food and energy",1.48
"7775",2016-03-04,"Gross domestic product (GDP)",2.2
"7776",2016-03-05,"Unemployment rate",4.9
"7777",2016-03-05,"Federal funds rate",0.38
"7778",2016-03-05,"Personal consumption expenditures (PCE)",0.69
"7779",2016-03-05,"PCE excluding food and energy",1.48
"7780",2016-03-05,"Gross domestic product (GDP)",2.2
"7781",2016-03-06,"Unemployment rate",4.9
"7782",2016-03-06,"Federal funds rate",0.38
"7783",2016-03-06,"Personal consumption expenditures (PCE)",0.69
"7784",2016-03-06,"PCE excluding food and energy",1.48
"7785",2016-03-06,"Gross domestic product (GDP)",2.2
"7786",2016-03-07,"Unemployment rate",4.9
"7787",2016-03-07,"Federal funds rate",0.38
"7788",2016-03-07,"Personal consumption expenditures (PCE)",0.69
"7789",2016-03-07,"PCE excluding food and energy",1.48
"7790",2016-03-07,"Gross domestic product (GDP)",2.2
"7791",2016-03-08,"Unemployment rate",4.9
"7792",2016-03-08,"Federal funds rate",0.38
"7793",2016-03-08,"Personal consumption expenditures (PCE)",0.69
"7794",2016-03-08,"PCE excluding food and energy",1.48
"7795",2016-03-08,"Gross domestic product (GDP)",2.2
"7796",2016-03-09,"Unemployment rate",4.9
"7797",2016-03-09,"Federal funds rate",0.38
"7798",2016-03-09,"Personal consumption expenditures (PCE)",0.69
"7799",2016-03-09,"PCE excluding food and energy",1.48
"7800",2016-03-09,"Gross domestic product (GDP)",2.2
"7801",2016-03-10,"Unemployment rate",4.9
"7802",2016-03-10,"Federal funds rate",0.38
"7803",2016-03-10,"Personal consumption expenditures (PCE)",0.69
"7804",2016-03-10,"PCE excluding food and energy",1.48
"7805",2016-03-10,"Gross domestic product (GDP)",2.2
"7806",2016-03-11,"Unemployment rate",4.9
"7807",2016-03-11,"Federal funds rate",0.38
"7808",2016-03-11,"Personal consumption expenditures (PCE)",0.69
"7809",2016-03-11,"PCE excluding food and energy",1.48
"7810",2016-03-11,"Gross domestic product (GDP)",2.2
"7811",2016-03-12,"Unemployment rate",4.9
"7812",2016-03-12,"Federal funds rate",0.38
"7813",2016-03-12,"Personal consumption expenditures (PCE)",0.69
"7814",2016-03-12,"PCE excluding food and energy",1.48
"7815",2016-03-12,"Gross domestic product (GDP)",2.2
"7816",2016-03-13,"Unemployment rate",4.9
"7817",2016-03-13,"Federal funds rate",0.38
"7818",2016-03-13,"Personal consumption expenditures (PCE)",0.69
"7819",2016-03-13,"PCE excluding food and energy",1.48
"7820",2016-03-13,"Gross domestic product (GDP)",2.2
"7821",2016-03-14,"Unemployment rate",4.9
"7822",2016-03-14,"Federal funds rate",0.38
"7823",2016-03-14,"Personal consumption expenditures (PCE)",0.69
"7824",2016-03-14,"PCE excluding food and energy",1.48
"7825",2016-03-14,"Gross domestic product (GDP)",2.2
"7826",2016-03-15,"Unemployment rate",4.9
"7827",2016-03-15,"Federal funds rate",0.38
"7828",2016-03-15,"Personal consumption expenditures (PCE)",0.69
"7829",2016-03-15,"PCE excluding food and energy",1.48
"7830",2016-03-15,"Gross domestic product (GDP)",2.2
"7831",2016-03-16,"Unemployment rate",4.9
"7832",2016-03-16,"Federal funds rate",0.38
"7833",2016-03-16,"Personal consumption expenditures (PCE)",0.69
"7834",2016-03-16,"PCE excluding food and energy",1.48
"7835",2016-03-16,"Gross domestic product (GDP)",2.2
"7836",2016-03-17,"Unemployment rate",4.9
"7837",2016-03-17,"Federal funds rate",0.38
"7838",2016-03-17,"Personal consumption expenditures (PCE)",0.69
"7839",2016-03-17,"PCE excluding food and energy",1.48
"7840",2016-03-17,"Gross domestic product (GDP)",2.2
"7841",2016-03-18,"Unemployment rate",4.9
"7842",2016-03-18,"Federal funds rate",0.38
"7843",2016-03-18,"Personal consumption expenditures (PCE)",0.69
"7844",2016-03-18,"PCE excluding food and energy",1.48
"7845",2016-03-18,"Gross domestic product (GDP)",2.2
