"variable","des","forecast_period","values","date"
"1540","September projection","Central tendency 2","Longer run","4.3 - 4.6",20181219
"1541","September projection","Range 3","2018","3.7 - 3.8",20181219
"1542","September projection","Range 3","2019","3.4 - 3.8",20181219
"1543","September projection","Range 3","2020","3.3 - 4.0",20181219
"1544","September projection","Range 3","2021","3.4 - 4.2",20181219
"1545","September projection","Range 3","Longer run","4.0 - 4.6",20181219
"1546","PCE inflation","Median 1","2018","1.9",20181219
"1547","PCE inflation","Median 1","2019","1.9",20181219
"1548","PCE inflation","Median 1","2020","2.1",20181219
"1549","PCE inflation","Median 1","2021","2.1",20181219
"1550","PCE inflation","Median 1","Longer run","2.0",20181219
"1551","PCE inflation","Central tendency 2","2018","1.8 - 1.9",20181219
"1552","PCE inflation","Central tendency 2","2019","1.8 - 2.1",20181219
"1553","PCE inflation","Central tendency 2","2020","2.0 - 2.1",20181219
"1554","PCE inflation","Central tendency 2","2021","2.0 - 2.1",20181219
"1555","PCE inflation","Central tendency 2","Longer run","2.0",20181219
"1556","PCE inflation","Range 3","2018","1.8 - 1.9",20181219
"1557","PCE inflation","Range 3","2019","1.8 - 2.2",20181219
"1558","PCE inflation","Range 3","2020","2.0 - 2.2",20181219
"1559","PCE inflation","Range 3","2021","2.0 - 2.3",20181219
"1560","PCE inflation","Range 3","Longer run","2.0",20181219
"1561","September projection","Median 1","2018","2.1",20181219
"1562","September projection","Median 1","2019","2.0",20181219
"1563","September projection","Median 1","2020","2.1",20181219
"1564","September projection","Median 1","2021","2.1",20181219
"1565","September projection","Median 1","Longer run","2.0",20181219
"1566","September projection","Central tendency 2","2018","2.0 - 2.1",20181219
"1567","September projection","Central tendency 2","2019","2.0 - 2.1",20181219
"1568","September projection","Central tendency 2","2020","2.1 - 2.2",20181219
"1569","September projection","Central tendency 2","2021","2.0 - 2.2",20181219
"1570","September projection","Central tendency 2","Longer run","2.0",20181219
"1571","September projection","Range 3","2018","1.9 - 2.2",20181219
"1572","September projection","Range 3","2019","2.0 - 2.3",20181219
"1573","September projection","Range 3","2020","2.0 - 2.2",20181219
"1574","September projection","Range 3","2021","2.0 - 2.3",20181219
"1575","September projection","Range 3","Longer run","2.0",20181219
"1576","Core PCE inflation 4","Median 1","2018","1.9",20181219
"1577","Core PCE inflation 4","Median 1","2019","2.0",20181219
"1578","Core PCE inflation 4","Median 1","2020","2.0",20181219
"1579","Core PCE inflation 4","Median 1","2021","2.0",20181219
"1580","Core PCE inflation 4","Median 1","Longer run","",20181219
"1581","Core PCE inflation 4","Central tendency 2","2018","1.8 - 1.9",20181219
"1582","Core PCE inflation 4","Central tendency 2","2019","2.0 - 2.1",20181219
"1583","Core PCE inflation 4","Central tendency 2","2020","2.0 - 2.1",20181219
"1584","Core PCE inflation 4","Central tendency 2","2021","2.0 - 2.1",20181219
"1585","Core PCE inflation 4","Central tendency 2","Longer run","",20181219
"1586","Core PCE inflation 4","Range 3","2018","1.8 - 1.9",20181219
"1587","Core PCE inflation 4","Range 3","2019","1.9 - 2.2",20181219
"1588","Core PCE inflation 4","Range 3","2020","2.0 - 2.2",20181219
"1589","Core PCE inflation 4","Range 3","2021","2.0 - 2.3",20181219
"1590","Core PCE inflation 4","Range 3","Longer run","",20181219
"1591","September projection","Median 1","2018","2.0",20181219
"1592","September projection","Median 1","2019","2.1",20181219
"1593","September projection","Median 1","2020","2.1",20181219
"1594","September projection","Median 1","2021","2.1",20181219
"1595","September projection","Median 1","Longer run","",20181219
"1596","September projection","Central tendency 2","2018","1.9 - 2.0",20181219
"1597","September projection","Central tendency 2","2019","2.0 - 2.1",20181219
"1598","September projection","Central tendency 2","2020","2.1 - 2.2",20181219
"1599","September projection","Central tendency 2","2021","2.0 - 2.2",20181219
"1600","September projection","Central tendency 2","Longer run","",20181219
"1601","September projection","Range 3","2018","1.9 - 2.0",20181219
"1602","September projection","Range 3","2019","2.0 - 2.3",20181219
"1603","September projection","Range 3","2020","2.0 - 2.2",20181219
"1604","September projection","Range 3","2021","2.0 - 2.3",20181219
"1605","September projection","Range 3","Longer run","",20181219
"1606","Memo: Projected appropriate policy path","Median 1","2018","Memo: Projected appropriate policy path",20181219
"1607","Memo: Projected appropriate policy path","Median 1","2019","Memo: Projected appropriate policy path",20181219
"1608","Memo: Projected appropriate policy path","Median 1","2020","Memo: Projected appropriate policy path",20181219
"1609","Memo: Projected appropriate policy path","Median 1","2021","Memo: Projected appropriate policy path",20181219
"1610","Memo: Projected appropriate policy path","Median 1","Longer run","Memo: Projected appropriate policy path",20181219
"1611","Memo: Projected appropriate policy path","Central tendency 2","2018","Memo: Projected appropriate policy path",20181219
"1612","Memo: Projected appropriate policy path","Central tendency 2","2019","Memo: Projected appropriate policy path",20181219
"1613","Memo: Projected appropriate policy path","Central tendency 2","2020","Memo: Projected appropriate policy path",20181219
"1614","Memo: Projected appropriate policy path","Central tendency 2","2021","Memo: Projected appropriate policy path",20181219
"1615","Memo: Projected appropriate policy path","Central tendency 2","Longer run","Memo: Projected appropriate policy path",20181219
"1616","Memo: Projected appropriate policy path","Range 3","2018","Memo: Projected appropriate policy path",20181219
"1617","Memo: Projected appropriate policy path","Range 3","2019","Memo: Projected appropriate policy path",20181219
"1618","Memo: Projected appropriate policy path","Range 3","2020","Memo: Projected appropriate policy path",20181219
"1619","Memo: Projected appropriate policy path","Range 3","2021","Memo: Projected appropriate policy path",20181219
"1620","Memo: Projected appropriate policy path","Range 3","Longer run","Memo: Projected appropriate policy path",20181219
"1621","Federal funds rate","Median 1","2018","2.4",20181219
"1622","Federal funds rate","Median 1","2019","2.9",20181219
"1623","Federal funds rate","Median 1","2020","3.1",20181219
"1624","Federal funds rate","Median 1","2021","3.1",20181219
"1625","Federal funds rate","Median 1","Longer run","2.8",20181219
"1626","Federal funds rate","Central tendency 2","2018","2.4",20181219
"1627","Federal funds rate","Central tendency 2","2019","2.6 - 3.1",20181219
"1628","Federal funds rate","Central tendency 2","2020","2.9 - 3.4",20181219
"1629","Federal funds rate","Central tendency 2","2021","2.6 - 3.1",20181219
"1630","Federal funds rate","Central tendency 2","Longer run","2.5 - 3.0",20181219
"1631","Federal funds rate","Range 3","2018","2.1 - 2.4",20181219
"1632","Federal funds rate","Range 3","2019","2.4 - 3.1",20181219
"1633","Federal funds rate","Range 3","2020","2.4 - 3.6",20181219
"1634","Federal funds rate","Range 3","2021","2.4 - 3.6",20181219
"1635","Federal funds rate","Range 3","Longer run","2.5 - 3.5",20181219
"1636","September projection","Median 1","2018","2.4",20181219
"1637","September projection","Median 1","2019","3.1",20181219
"1638","September projection","Median 1","2020","3.4",20181219
"1639","September projection","Median 1","2021","3.4",20181219
"1640","September projection","Median 1","Longer run","3.0",20181219
"1641","September projection","Central tendency 2","2018","2.1 - 2.4",20181219
"1642","September projection","Central tendency 2","2019","2.9 - 3.4",20181219
"1643","September projection","Central tendency 2","2020","3.1 - 3.6",20181219
"1644","September projection","Central tendency 2","2021","2.9 - 3.6",20181219
"1645","September projection","Central tendency 2","Longer run","2.8 - 3.0",20181219
"1646","September projection","Range 3","2018","2.1 - 2.4",20181219
"1647","September projection","Range 3","2019","2.1 - 3.6",20181219
"1648","September projection","Range 3","2020","2.1 - 3.9",20181219
"1649","September projection","Range 3","2021","2.1 - 4.1",20181219
"1650","September projection","Range 3","Longer run","2.5 - 3.5",20181219
"1651","Change in real GDP","Median1","2017","2.1",20170315
"1652","Change in real GDP","Median1","2018","2.1",20170315
"1653","Change in real GDP","Median1","2019","1.9",20170315
"1654","Change in real GDP","Median1","Longer run","1.8",20170315
"1655","Change in real GDP","Central tendency2","2017","2.0 - 2.2",20170315
"1656","Change in real GDP","Central tendency2","2018","1.8 - 2.3",20170315
"1657","Change in real GDP","Central tendency2","2019","1.8 - 2.0",20170315
"1658","Change in real GDP","Central tendency2","Longer run","1.8 - 2.0",20170315
"1659","Change in real GDP","Range3","2017","1.7 - 2.3",20170315
"1660","Change in real GDP","Range3","2018","1.7 - 2.4",20170315
"1661","Change in real GDP","Range3","2019","1.5 - 2.2",20170315
"1662","Change in real GDP","Range3","Longer run","1.6 - 2.2",20170315
"1663","Change in real GDP","NA","NA",NA,20170315
"1664","Change in real GDP","NA","NA",NA,20170315
"1665","Change in real GDP","NA","NA",NA,20170315
"1666","December projection","Median1","2017","2.1",20170315
"1667","December projection","Median1","2018","2.0",20170315
"1668","December projection","Median1","2019","1.9",20170315
"1669","December projection","Median1","Longer run","1.8",20170315
"1670","December projection","Central tendency2","2017","1.9 - 2.3",20170315
"1671","December projection","Central tendency2","2018","1.8 - 2.2",20170315
"1672","December projection","Central tendency2","2019","1.8 - 2.0",20170315
"1673","December projection","Central tendency2","Longer run","1.8 - 2.0",20170315
"1674","December projection","Range3","2017","1.7 - 2.4",20170315
"1675","December projection","Range3","2018","1.7 - 2.3",20170315
"1676","December projection","Range3","2019","1.5 - 2.2",20170315
"1677","December projection","Range3","Longer run","1.6 - 2.2",20170315
"1678","December projection","NA","NA",NA,20170315
"1679","December projection","NA","NA",NA,20170315
"1680","December projection","NA","NA",NA,20170315
"1681","Unemployment rate","Median1","2017","4.5",20170315
"1682","Unemployment rate","Median1","2018","4.5",20170315
"1683","Unemployment rate","Median1","2019","4.5",20170315
"1684","Unemployment rate","Median1","Longer run","4.7",20170315
"1685","Unemployment rate","Central tendency2","2017","4.5 - 4.6",20170315
"1686","Unemployment rate","Central tendency2","2018","4.3 - 4.6",20170315
"1687","Unemployment rate","Central tendency2","2019","4.3 - 4.7",20170315
"1688","Unemployment rate","Central tendency2","Longer run","4.7 - 5.0",20170315
"1689","Unemployment rate","Range3","2017","4.4 - 4.7",20170315
"1690","Unemployment rate","Range3","2018","4.2 - 4.7",20170315
"1691","Unemployment rate","Range3","2019","4.1 - 4.8",20170315
"1692","Unemployment rate","Range3","Longer run","4.5 - 5.0",20170315
"1693","Unemployment rate","NA","NA",NA,20170315
"1694","Unemployment rate","NA","NA",NA,20170315
"1695","Unemployment rate","NA","NA",NA,20170315
"1696","December projection","Median1","2017","4.5",20170315
"1697","December projection","Median1","2018","4.5",20170315
"1698","December projection","Median1","2019","4.5",20170315
"1699","December projection","Median1","Longer run","4.8",20170315
"1700","December projection","Central tendency2","2017","4.5 - 4.6",20170315
"1701","December projection","Central tendency2","2018","4.3 - 4.7",20170315
"1702","December projection","Central tendency2","2019","4.3 - 4.8",20170315
"1703","December projection","Central tendency2","Longer run","4.7 - 5.0",20170315
"1704","December projection","Range3","2017","4.4 - 4.7",20170315
"1705","December projection","Range3","2018","4.2 - 4.7",20170315
"1706","December projection","Range3","2019","4.1 - 4.8",20170315
"1707","December projection","Range3","Longer run","4.5 - 5.0",20170315
"1708","December projection","NA","NA",NA,20170315
"1709","December projection","NA","NA",NA,20170315
"1710","December projection","NA","NA",NA,20170315
"1711","PCE inflation","Median1","2017","1.9",20170315
"1712","PCE inflation","Median1","2018","2.0",20170315
"1713","PCE inflation","Median1","2019","2.0",20170315
"1714","PCE inflation","Median1","Longer run","2.0",20170315
"1715","PCE inflation","Central tendency2","2017","1.8 - 2.0",20170315
"1716","PCE inflation","Central tendency2","2018","1.9 - 2.0",20170315
"1717","PCE inflation","Central tendency2","2019","2.0 - 2.1",20170315
"1718","PCE inflation","Central tendency2","Longer run","2.0",20170315
"1719","PCE inflation","Range3","2017","1.7 - 2.1",20170315
"1720","PCE inflation","Range3","2018","1.8 - 2.1",20170315
"1721","PCE inflation","Range3","2019","1.8 - 2.2",20170315
"1722","PCE inflation","Range3","Longer run","2.0",20170315
"1723","PCE inflation","NA","NA",NA,20170315
"1724","PCE inflation","NA","NA",NA,20170315
"1725","PCE inflation","NA","NA",NA,20170315
"1726","December projection","Median1","2017","1.9",20170315
"1727","December projection","Median1","2018","2.0",20170315
"1728","December projection","Median1","2019","2.0",20170315
"1729","December projection","Median1","Longer run","2.0",20170315
"1730","December projection","Central tendency2","2017","1.7 - 2.0",20170315
"1731","December projection","Central tendency2","2018","1.9 - 2.0",20170315
"1732","December projection","Central tendency2","2019","2.0 - 2.1",20170315
"1733","December projection","Central tendency2","Longer run","2.0",20170315
"1734","December projection","Range3","2017","1.7 - 2.0",20170315
"1735","December projection","Range3","2018","1.8 - 2.2",20170315
"1736","December projection","Range3","2019","1.8 - 2.2",20170315
"1737","December projection","Range3","Longer run","2.0",20170315
"1738","December projection","NA","NA",NA,20170315
"1739","December projection","NA","NA",NA,20170315
"1740","December projection","NA","NA",NA,20170315
"1741","Core PCE inflation4","Median1","2017","1.9",20170315
"1742","Core PCE inflation4","Median1","2018","2.0",20170315
"1743","Core PCE inflation4","Median1","2019","2.0",20170315
"1744","Core PCE inflation4","Median1","Longer run","",20170315
"1745","Core PCE inflation4","Central tendency2","2017","1.8 - 1.9",20170315
"1746","Core PCE inflation4","Central tendency2","2018","1.9 - 2.0",20170315
"1747","Core PCE inflation4","Central tendency2","2019","2.0 - 2.1",20170315
"1748","Core PCE inflation4","Central tendency2","Longer run","",20170315
"1749","Core PCE inflation4","Range3","2017","1.7 - 2.0",20170315
"1750","Core PCE inflation4","Range3","2018","1.8 - 2.1",20170315
"1751","Core PCE inflation4","Range3","2019","1.8 - 2.2",20170315
"1752","Core PCE inflation4","Range3","Longer run","",20170315
"1753","Core PCE inflation4","NA","NA",NA,20170315
"1754","Core PCE inflation4","NA","NA",NA,20170315
"1755","Core PCE inflation4","NA","NA",NA,20170315
"1756","December projection","Median1","2017","1.8",20170315
"1757","December projection","Median1","2018","2.0",20170315
"1758","December projection","Median1","2019","2.0",20170315
"1759","December projection","Median1","Longer run","",20170315
"1760","December projection","Central tendency2","2017","1.8 - 1.9",20170315
"1761","December projection","Central tendency2","2018","1.9 - 2.0",20170315
"1762","December projection","Central tendency2","2019","2.0",20170315
"1763","December projection","Central tendency2","Longer run","",20170315
"1764","December projection","Range3","2017","1.7 - 2.0",20170315
"1765","December projection","Range3","2018","1.8 - 2.2",20170315
"1766","December projection","Range3","2019","1.8 - 2.2",20170315
"1767","December projection","Range3","Longer run","",20170315
"1768","December projection","NA","NA",NA,20170315
"1769","December projection","NA","NA",NA,20170315
"1770","December projection","NA","NA",NA,20170315
"1771","Memo: Projected appropriate policy path","Median1","2017","Memo: Projected appropriate policy path",20170315
"1772","Memo: Projected appropriate policy path","Median1","2018","Memo: Projected appropriate policy path",20170315
"1773","Memo: Projected appropriate policy path","Median1","2019","Memo: Projected appropriate policy path",20170315
"1774","Memo: Projected appropriate policy path","Median1","Longer run","Memo: Projected appropriate policy path",20170315
"1775","Memo: Projected appropriate policy path","Central tendency2","2017","Memo: Projected appropriate policy path",20170315
"1776","Memo: Projected appropriate policy path","Central tendency2","2018","Memo: Projected appropriate policy path",20170315
"1777","Memo: Projected appropriate policy path","Central tendency2","2019","Memo: Projected appropriate policy path",20170315
"1778","Memo: Projected appropriate policy path","Central tendency2","Longer run","Memo: Projected appropriate policy path",20170315
"1779","Memo: Projected appropriate policy path","Range3","2017","Memo: Projected appropriate policy path",20170315
"1780","Memo: Projected appropriate policy path","Range3","2018","Memo: Projected appropriate policy path",20170315
"1781","Memo: Projected appropriate policy path","Range3","2019","Memo: Projected appropriate policy path",20170315
"1782","Memo: Projected appropriate policy path","Range3","Longer run","Memo: Projected appropriate policy path",20170315
"1783","Memo: Projected appropriate policy path","NA","NA","Memo: Projected appropriate policy path",20170315
"1784","Memo: Projected appropriate policy path","NA","NA","Memo: Projected appropriate policy path",20170315
"1785","Memo: Projected appropriate policy path","NA","NA","Memo: Projected appropriate policy path",20170315
"1786","Federal funds rate","Median1","2017","1.4",20170315
"1787","Federal funds rate","Median1","2018","2.1",20170315
"1788","Federal funds rate","Median1","2019","3.0",20170315
"1789","Federal funds rate","Median1","Longer run","3.0",20170315
"1790","Federal funds rate","Central tendency2","2017","1.4 - 1.6",20170315
"1791","Federal funds rate","Central tendency2","2018","2.1 - 2.9",20170315
"1792","Federal funds rate","Central tendency2","2019","2.6 - 3.3",20170315
"1793","Federal funds rate","Central tendency2","Longer run","2.8 - 3.0",20170315
"1794","Federal funds rate","Range3","2017","0.9 - 2.1",20170315
"1795","Federal funds rate","Range3","2018","0.9 - 3.4",20170315
"1796","Federal funds rate","Range3","2019","0.9 - 3.9",20170315
"1797","Federal funds rate","Range3","Longer run","2.5 - 3.8",20170315
"1798","Federal funds rate","NA","NA",NA,20170315
"1799","Federal funds rate","NA","NA",NA,20170315
"1800","Federal funds rate","NA","NA",NA,20170315
"1801","December projection","Median1","2017","1.4",20170315
"1802","December projection","Median1","2018","2.1",20170315
"1803","December projection","Median1","2019","2.9",20170315
"1804","December projection","Median1","Longer run","3.0",20170315
"1805","December projection","Central tendency2","2017","1.1 - 1.6",20170315
"1806","December projection","Central tendency2","2018","1.9 - 2.6",20170315
"1807","December projection","Central tendency2","2019","2.4 - 3.3",20170315
"1808","December projection","Central tendency2","Longer run","2.8 - 3.0",20170315
"1809","December projection","Range3","2017","0.9 - 2.1",20170315
"1810","December projection","Range3","2018","0.9 - 3.4",20170315
"1811","December projection","Range3","2019","0.9 - 3.9",20170315
"1812","December projection","Range3","Longer run","2.5 - 3.8",20170315
"1813","December projection","NA","NA",NA,20170315
"1814","December projection","NA","NA",NA,20170315
"1815","December projection","NA","NA",NA,20170315
"1816","Change in real GDP","Median1","2017","2.2",20170614
"1817","Change in real GDP","Median1","2018","2.1",20170614
"1818","Change in real GDP","Median1","2019","1.9",20170614
"1819","Change in real GDP","Median1","Longer run","1.8",20170614
"1820","Change in real GDP","Central tendency2","2017","2.1 - 2.2",20170614
"1821","Change in real GDP","Central tendency2","2018","1.8 - 2.2",20170614
"1822","Change in real GDP","Central tendency2","2019","1.8 - 2.0",20170614
"1823","Change in real GDP","Central tendency2","Longer run","1.8 - 2.0",20170614
"1824","Change in real GDP","Range3","2017","2.0 - 2.5",20170614
"1825","Change in real GDP","Range3","2018","1.7 - 2.3",20170614
"1826","Change in real GDP","Range3","2019","1.4 - 2.3",20170614
"1827","Change in real GDP","Range3","Longer run","1.5 - 2.2",20170614
"1828","March projection","Median1","2017","2.1",20170614
"1829","March projection","Median1","2018","2.1",20170614
"1830","March projection","Median1","2019","1.9",20170614
"1831","March projection","Median1","Longer run","1.8",20170614
"1832","March projection","Central tendency2","2017","2.0 - 2.2",20170614
"1833","March projection","Central tendency2","2018","1.8 - 2.3",20170614
"1834","March projection","Central tendency2","2019","1.8 - 2.0",20170614
"1835","March projection","Central tendency2","Longer run","1.8 - 2.0",20170614
"1836","March projection","Range3","2017","1.7 - 2.3",20170614
"1837","March projection","Range3","2018","1.7 - 2.4",20170614
"1838","March projection","Range3","2019","1.5 - 2.2",20170614
"1839","March projection","Range3","Longer run","1.6 - 2.2",20170614
"1840","Unemployment rate","Median1","2017","4.3",20170614
"1841","Unemployment rate","Median1","2018","4.2",20170614
"1842","Unemployment rate","Median1","2019","4.2",20170614
"1843","Unemployment rate","Median1","Longer run","4.6",20170614
"1844","Unemployment rate","Central tendency2","2017","4.2 - 4.3",20170614
"1845","Unemployment rate","Central tendency2","2018","4.0 - 4.3",20170614
"1846","Unemployment rate","Central tendency2","2019","4.1 - 4.4",20170614
"1847","Unemployment rate","Central tendency2","Longer run","4.5 - 4.8",20170614
"1848","Unemployment rate","Range3","2017","4.1 - 4.5",20170614
"1849","Unemployment rate","Range3","2018","3.9 - 4.5",20170614
"1850","Unemployment rate","Range3","2019","3.8 - 4.5",20170614
"1851","Unemployment rate","Range3","Longer run","4.5 - 5.0",20170614
"1852","March projection","Median1","2017","4.5",20170614
"1853","March projection","Median1","2018","4.5",20170614
"1854","March projection","Median1","2019","4.5",20170614
"1855","March projection","Median1","Longer run","4.7",20170614
"1856","March projection","Central tendency2","2017","4.5 - 4.6",20170614
"1857","March projection","Central tendency2","2018","4.3 - 4.6",20170614
"1858","March projection","Central tendency2","2019","4.3 - 4.7",20170614
"1859","March projection","Central tendency2","Longer run","4.7 - 5.0",20170614
"1860","March projection","Range3","2017","4.4 - 4.7",20170614
"1861","March projection","Range3","2018","4.2 - 4.7",20170614
"1862","March projection","Range3","2019","4.1 - 4.8",20170614
"1863","March projection","Range3","Longer run","4.5 - 5.0",20170614
"1864","PCE inflation","Median1","2017","1.6",20170614
"1865","PCE inflation","Median1","2018","2.0",20170614
"1866","PCE inflation","Median1","2019","2.0",20170614
"1867","PCE inflation","Median1","Longer run","2.0",20170614
"1868","PCE inflation","Central tendency2","2017","1.6 - 1.7",20170614
"1869","PCE inflation","Central tendency2","2018","1.8 - 2.0",20170614
"1870","PCE inflation","Central tendency2","2019","2.0 - 2.1",20170614
"1871","PCE inflation","Central tendency2","Longer run","2.0",20170614
"1872","PCE inflation","Range3","2017","1.5 - 1.8",20170614
"1873","PCE inflation","Range3","2018","1.7 - 2.1",20170614
"1874","PCE inflation","Range3","2019","1.8 - 2.2",20170614
"1875","PCE inflation","Range3","Longer run","2.0",20170614
"1876","March projection","Median1","2017","1.9",20170614
"1877","March projection","Median1","2018","2.0",20170614
"1878","March projection","Median1","2019","2.0",20170614
"1879","March projection","Median1","Longer run","2.0",20170614
"1880","March projection","Central tendency2","2017","1.8 - 2.0",20170614
"1881","March projection","Central tendency2","2018","1.9 - 2.0",20170614
"1882","March projection","Central tendency2","2019","2.0 - 2.1",20170614
"1883","March projection","Central tendency2","Longer run","2.0",20170614
"1884","March projection","Range3","2017","1.7 - 2.1",20170614
"1885","March projection","Range3","2018","1.8 - 2.1",20170614
"1886","March projection","Range3","2019","1.8 - 2.2",20170614
"1887","March projection","Range3","Longer run","2.0",20170614
"1888","Core PCE inflation4","Median1","2017","1.7",20170614
"1889","Core PCE inflation4","Median1","2018","2.0",20170614
"1890","Core PCE inflation4","Median1","2019","2.0",20170614
"1891","Core PCE inflation4","Median1","Longer run","",20170614
"1892","Core PCE inflation4","Central tendency2","2017","1.6 - 1.7",20170614
"1893","Core PCE inflation4","Central tendency2","2018","1.8 - 2.0",20170614
"1894","Core PCE inflation4","Central tendency2","2019","2.0 - 2.1",20170614
"1895","Core PCE inflation4","Central tendency2","Longer run","",20170614
"1896","Core PCE inflation4","Range3","2017","1.6 - 1.8",20170614
"1897","Core PCE inflation4","Range3","2018","1.7 - 2.1",20170614
"1898","Core PCE inflation4","Range3","2019","1.8 - 2.2",20170614
"1899","Core PCE inflation4","Range3","Longer run","",20170614
"1900","March projection","Median1","2017","1.9",20170614
"1901","March projection","Median1","2018","2.0",20170614
"1902","March projection","Median1","2019","2.0",20170614
"1903","March projection","Median1","Longer run","",20170614
"1904","March projection","Central tendency2","2017","1.8 - 1.9",20170614
"1905","March projection","Central tendency2","2018","1.9 - 2.0",20170614
"1906","March projection","Central tendency2","2019","2.0 - 2.1",20170614
"1907","March projection","Central tendency2","Longer run","",20170614
"1908","March projection","Range3","2017","1.7 - 2.0",20170614
"1909","March projection","Range3","2018","1.8 - 2.1",20170614
"1910","March projection","Range3","2019","1.8 - 2.2",20170614
"1911","March projection","Range3","Longer run","",20170614
"1912","Memo: Projected appropriate policy path","Median1","2017","Memo: Projected appropriate policy path",20170614
"1913","Memo: Projected appropriate policy path","Median1","2018","Memo: Projected appropriate policy path",20170614
"1914","Memo: Projected appropriate policy path","Median1","2019","Memo: Projected appropriate policy path",20170614
"1915","Memo: Projected appropriate policy path","Median1","Longer run","Memo: Projected appropriate policy path",20170614
"1916","Memo: Projected appropriate policy path","Central tendency2","2017","Memo: Projected appropriate policy path",20170614
"1917","Memo: Projected appropriate policy path","Central tendency2","2018","Memo: Projected appropriate policy path",20170614
"1918","Memo: Projected appropriate policy path","Central tendency2","2019","Memo: Projected appropriate policy path",20170614
"1919","Memo: Projected appropriate policy path","Central tendency2","Longer run","Memo: Projected appropriate policy path",20170614
"1920","Memo: Projected appropriate policy path","Range3","2017","Memo: Projected appropriate policy path",20170614
"1921","Memo: Projected appropriate policy path","Range3","2018","Memo: Projected appropriate policy path",20170614
"1922","Memo: Projected appropriate policy path","Range3","2019","Memo: Projected appropriate policy path",20170614
"1923","Memo: Projected appropriate policy path","Range3","Longer run","Memo: Projected appropriate policy path",20170614
"1924","Federal funds rate","Median1","2017","1.4",20170614
"1925","Federal funds rate","Median1","2018","2.1",20170614
"1926","Federal funds rate","Median1","2019","2.9",20170614
"1927","Federal funds rate","Median1","Longer run","3.0",20170614
"1928","Federal funds rate","Central tendency2","2017","1.1 - 1.6",20170614
"1929","Federal funds rate","Central tendency2","2018","1.9 - 2.6",20170614
"1930","Federal funds rate","Central tendency2","2019","2.6 - 3.1",20170614
"1931","Federal funds rate","Central tendency2","Longer run","2.8 - 3.0",20170614
"1932","Federal funds rate","Range3","2017","1.1 - 1.6",20170614
"1933","Federal funds rate","Range3","2018","1.1 - 3.1",20170614
"1934","Federal funds rate","Range3","2019","1.1 - 4.1",20170614
"1935","Federal funds rate","Range3","Longer run","2.5 - 3.5",20170614
"1936","March projection","Median1","2017","1.4",20170614
"1937","March projection","Median1","2018","2.1",20170614
"1938","March projection","Median1","2019","3.0",20170614
"1939","March projection","Median1","Longer run","3.0",20170614
"1940","March projection","Central tendency2","2017","1.4 - 1.6",20170614
"1941","March projection","Central tendency2","2018","2.1 - 2.9",20170614
"1942","March projection","Central tendency2","2019","2.6 - 3.3",20170614
"1943","March projection","Central tendency2","Longer run","2.8 - 3.0",20170614
"1944","March projection","Range3","2017","0.9 - 2.1",20170614
"1945","March projection","Range3","2018","0.9 - 3.4",20170614
"1946","March projection","Range3","2019","0.9 - 3.9",20170614
"1947","March projection","Range3","Longer run","2.5 - 3.8",20170614
"1948","Change in real GDP","Median1","2017","2.4",20170920
"1949","Change in real GDP","Median1","2018","2.1",20170920
"1950","Change in real GDP","Median1","2019","2.0",20170920
"1951","Change in real GDP","Median1","2020","1.8",20170920
"1952","Change in real GDP","Median1","Longer run","1.8",20170920
"1953","Change in real GDP","Central tendency2","2017","2.2 - 2.5",20170920
"1954","Change in real GDP","Central tendency2","2018","2.0 - 2.3",20170920
"1955","Change in real GDP","Central tendency2","2019","1.7 - 2.1",20170920
"1956","Change in real GDP","Central tendency2","2020","1.6 - 2.0",20170920
"1957","Change in real GDP","Central tendency2","Longer run","1.8 - 2.0",20170920
"1958","Change in real GDP","Range3","2017","2.2 - 2.7",20170920
"1959","Change in real GDP","Range3","2018","1.7 - 2.6",20170920
"1960","Change in real GDP","Range3","2019","1.4 - 2.3",20170920
"1961","Change in real GDP","Range3","2020","1.4 - 2.0",20170920
"1962","Change in real GDP","Range3","Longer run","1.5 - 2.2",20170920
"1963","June projection","Median1","2017","2.2",20170920
"1964","June projection","Median1","2018","2.1",20170920
"1965","June projection","Median1","2019","1.9",20170920
"1966","June projection","Median1","2020","n.a.",20170920
"1967","June projection","Median1","Longer run","1.8",20170920
"1968","June projection","Central tendency2","2017","2.1 - 2.2",20170920
"1969","June projection","Central tendency2","2018","1.8 - 2.2",20170920
"1970","June projection","Central tendency2","2019","1.8 - 2.0",20170920
"1971","June projection","Central tendency2","2020","n.a.",20170920
"1972","June projection","Central tendency2","Longer run","1.8 - 2.0",20170920
"1973","June projection","Range3","2017","2.0 - 2.5",20170920
"1974","June projection","Range3","2018","1.7 - 2.3",20170920
"1975","June projection","Range3","2019","1.4 - 2.3",20170920
"1976","June projection","Range3","2020","n.a.",20170920
"1977","June projection","Range3","Longer run","1.5 - 2.2",20170920
"1978","Unemployment rate","Median1","2017","4.3",20170920
"1979","Unemployment rate","Median1","2018","4.1",20170920
"1980","Unemployment rate","Median1","2019","4.1",20170920
"1981","Unemployment rate","Median1","2020","4.2",20170920
"1982","Unemployment rate","Median1","Longer run","4.6",20170920
"1983","Unemployment rate","Central tendency2","2017","4.2 - 4.3",20170920
"1984","Unemployment rate","Central tendency2","2018","4.0 - 4.2",20170920
"1985","Unemployment rate","Central tendency2","2019","3.9 - 4.4",20170920
